mouse,left or right,sex,group,day_0_area,day_3_area,day_3_change,day_7_area,day_7_change,day_14_area,day_14_change
PBS_1,L,m,PBS,0.477,0.425,89,0.288,60,0.002,0
PBS_1,R,m,PBS,0.61,0.447,73,0.192,31,0,0
PBS_2,L,m,PBS,0.74,0.548,74,0.256,35,0.055,7
PBS_2,R,m,PBS,0.508,0.646,127,0.507,100,0.505,99
PBS_3,L,m,PBS,0.552,0.394,71,0.201,36,0.002,0
PBS_3,R,m,PBS,0.512,0.703,137,0.476,93,0.035,7
PBS_4,L,m,PBS,0.619,0.56,90,0.376,61,0.298,48
PBS_4,R,m,PBS,0.619,0.619,100,0.251,41,0.048,8
LAC_1,L,m,LAC,0.587,1.034,176,0.823,140,0.541,92
LAC_1,R,m,LAC,0.411,0.819,199,0.663,161,0.583,142
LAC_2,L,m,LAC,0.642,0.745,116,0.995,155,0.472,74
LAC_2,R,m,LAC,0.599,1,167,1.213,203,1.039,173
LAC_3,L,m,LAC,0.572,0.852,149,0.73,128,0.361,63
LAC_3,R,m,LAC,0.611,1.091,179,1.211,198,1.067,175
LAC_4,L,m,LAC,0.497,0.489,98,1.071,215,0.991,199
LAC_4,R,m,LAC,0.612,0.817,133,0.767,125,0.57,93
LAC_5,L,m,LAC,1.048,1.33,127,1.275,122,0.352,34
LAC_5,R,m,LAC,0.474,0.77,162,1.235,261,0.744,157
72_1,L,m,SA925,0.755,0.846,112,1.435,190,0.739,98
72_1,R,m,SA925,0.949,1.427,150,1.396,147,0.825,87
72_3,L,m,SA925,0.369,0.764,207,0.814,221,0.407,110
72_3,R,m,SA925,0.627,0.845,135,0.89,142,0.428,68
72_4,L,m,SA925,0.6,0.942,157,1.259,210,0.671,112
72_4,R,m,SA925,0.498,0.947,190,0.908,182,0.472,95
72_5,L,m,SA925,0.563,0.975,173,0.64,114,0.144,26
72_5,R,m,SA925,1.052,1.157,110,1.129,107,0.548,52
72_6,L,m,SA925,0.635,0.709,112,0.76,120,0.243,38
72_6,R,m,SA925,0.494,0.783,159,1.14,231,0.771,156
81_1,L,m,SA1088,0.481,0.623,130,0.447,93,0.066,14
81_1,R,m,SA1088,0.628,0.72,115,0.438,70,0.384,61
81_2,L,m,SA1088,0.666,0.68,102,0.419,63,0.151,23
81_2,R,m,SA1088,0.591,0.655,111,0.817,138,0.456,77
81_3,L,m,SA1088,0.71,0.452,64,0.483,68,0.008,1
81_3,R,m,SA1088,0.607,0.43,71,0.286,47,0,0
81_4,L,m,SA1088,0.876,0.794,91,0.921,105,0.264,30
81_4,R,m,SA1088,0.882,0.943,107,1.106,125,0.429,49
81_5,L,m,SA1088,0.631,0.636,101,0.496,79,0.02,3
81_5,R,m,SA1088,0.545,0.783,144,0.625,115,0.284,52
2498_1,L,m,SA2498,0.575,0.652,113,1.097,191,0.556,97
2498_1,R,m,SA2498,0.602,0.644,107,0.915,152,0.55,91
2498_2,L,m,SA2498,0.723,0.807,112,0.868,120,0.466,64
2498_2,R,m,SA2498,0.619,0.623,101,1,162,0.508,82
2498_3,L,m,SA2498,0.589,0.499,85,0.785,133,0.342,58
2498_3,R,m,SA2498,0.625,0.729,117,0.732,117,0.45,72
2498_4,L,m,SA2498,0.55,0.403,73,0.421,77,0.035,6
2498_4,R,m,SA2498,0.665,0.774,116,1.163,175,0.606,91
